time,value
1.04296875,0
1.75390625,182
2.46484375,182
3.1953125,187
3.92578125,187
4.69921875,198
5.48046875,200
6.27734375,204
7.07421875,204
7.85546875,200
8.6328125,199
9.359375,186
10.078125,184
10.75390625,173
11.42578125,172
12.09375,171
12.77734375,175
13.44140625,170
14.11328125,172
14.76953125,168
15.41796875,166
16.05859375,164
16.703125,165
17.34375,164
17.9765625,162
18.62109375,165
19.2578125,163
19.875,158
20.48046875,155
21.0859375,155
21.69140625,155
22.30078125,156
22.9140625,157
23.5390625,160
24.1796875,164
24.83984375,169
25.53515625,178
26.26171875,186
27.01171875,192
27.796875,201
28.5703125,198
29.3359375,196
30.078125,190
30.78125,180
31.484375,180
32.1875,180
32.90625,184
33.6484375,190
34.38671875,189
35.12109375,188
35.8671875,191
36.609375,190
37.3515625,190
38.07421875,185
38.80078125,186
39.515625,183
40.25,188
40.98828125,189
41.73046875,190
42.46875,189
43.20703125,189
43.93359375,186
44.66015625,186
45.375,183
46.11328125,189
46.84375,187
47.58984375,191
48.328125,189
49.08203125,193
49.8515625,197
50.61328125,195
51.375,195
52.125,192
52.85546875,187
53.5859375,187
54.30859375,185
55.05078125,190
55.79296875,190
56.5390625,191
57.2890625,192
58.046875,194
58.8125,196
59.578125,196
60.33984375,195
61.08203125,190
61.8203125,189
62.5546875,188
63.296875,190
64.04296875,191
64.8203125,199
65.59765625,199
66.40234375,206
67.1875,201
67.98046875,203
68.7734375,203
69.5546875,200
70.34375,202
71.11328125,197
71.875,195
72.6171875,190
73.37109375,193
74.13671875,196
74.921875,201
75.671875,192
76.41796875,191
77.14453125,186
77.86328125,184
78.56640625,180
79.2421875,173
79.9140625,172
80.58984375,173
81.26953125,174
81.9453125,173
82.63671875,177
83.32421875,176
83.98828125,170
84.64453125,168
85.28515625,164
85.9375,167
86.609375,172
87.2734375,170
87.953125,174
88.63671875,175
89.34375,181
90.05078125,181
90.765625,183
91.4921875,186
92.21484375,185
92.93359375,184
93.69140625,194
94.4921875,205
95.3203125,212
96.15234375,213
96.97265625,210
97.81640625,216
98.60546875,202
99.36328125,194
100.0859375,185
